behavior | hành vi
fantastic | tuyệt vời
attendance | sự có mặt
consequence | hậu quả
distract | làm xao lạc
elegant | tao nhã
abolish | bãi bỏ
generosity | lòng hào phóng
instruct | chỉ dẫn
alleviate | làm giảm bớt
together | cùng nhau
fundamental | căn bản
intelligent | thông minh
immigrant | người nhập cư
justify | bào chữa
navigate | định hướng
obsolete | lỗi thời
motivate | thúc đẩy
persistent | kiên trì
beautiful | xinh đẹp
objection | sự phản đối
vitality | sự sống động
impeccable | hoàn hảo
narrate | kể chuyện
prioritize | ưu tiên
restrain | kiềm chế
versatile | đa năng
contradict | mâu thuẫn
gratitude | lòng biết ơn
persevere | kiên trì
controversial | gây tranh cãi
skeptical | hoài nghi
hesitate | do dự
neglect | sao lãng
competent | có năng lực
vulnerable | dễ bị tổn thương
maintain | duy trì
patience | sự kiên nhẫn
authentic | chính xác
collaborate | cộng tác
diminish | giảm bớt
reluctant | miễn cưỡng
cautious | thận trọng
dictionary | từ điển
negative | tiêu cực
compromise | thỏa hiệp
diligent | cần cù
perceive | nhận thức
prerequisite | điều kiện tiên quyết
deceive | lừa dối
genuine | thành thật
emphasize | nhấn mạnh
accommodate | chứa đựng
ambitious | tham vọng
program | chương trình
consult | tham khảo ý kiến
distinguish | phân biệt
facilitate | tạo điều kiện
harmonious | hòa thuận
innovative | đổi mới
notorious | tai tiếng
optimistic | lạc quan
labyrinth | mê cung
restrict | hạn chế
problem | vấn đề
acknowledge | công nhận
coincide | trùng khớp
dominant | ưu thế
escalate | gia tăng
implement | thi hành
summary | tóm lược
manipulate | thao túng
nurture | nuôi dưỡng
overcome | vượt qua
proficient | thành thạo
reflect | phản ánh
combat | chiến đấu
unite | đoàn kết
wisdom | sự khôn ngoan
accountable | chịu trách nhiệm
compassionate | từ bi
digest | tiêu hóa
feasible | khả thi
illuminate | chiếu sáng
maneuver | điều khiển
oblige | bắt buộc
pioneer | tiên phong
reckon | xem xét
scrutinize | xem xét kỹ lưỡng
strive | phấn đấu
satellite | vệ tinh
website | trang mạng
collide | va chạm
embody | tiêu biểu
eudaemonia | hạnh phúc
jeopardize | gây nguy hiểm
miraculous | kỳ diệu
resilience | lòng kiên nhẫn
tranquility | bình yên
vision | tầm nhìn
